"AUC","Brier","EPV","P","rho","beta_pattern","sim","model","lambda"
0.667909685647742,1.203311512,5,4,0,"equal",1,"Random Forest",NA
0.597263179785879,1.3596257804,5,4,0,"equal",2,"Random Forest",NA
0.674877402578199,1.116493758,5,4,0,"equal",3,"Random Forest",NA
0.624915881766495,1.2997196472,5,4,0,"equal",4,"Random Forest",NA
0.680423414596523,1.102321482,5,4,0,"equal",5,"Random Forest",NA
0.657914008733255,1.4657053968,5,4,0,"equal",6,"Random Forest",NA
0.688587149630813,0.9626644084,5,4,0,"equal",7,"Random Forest",NA
0.554414425214547,1.3504803608,5,4,0,"equal",8,"Random Forest",NA
0.661576525852244,1.0775112004,5,4,0,"equal",9,"Random Forest",NA
0.634105923640379,1.0683261984,5,4,0,"equal",10,"Random Forest",NA
0.599296054197899,1.4573304172,5,4,0,"strong",1,"Random Forest",NA
0.64178024567121,1.1234095716,5,4,0,"strong",2,"Random Forest",NA
0.613694243248189,1.0074267904,5,4,0,"strong",3,"Random Forest",NA
0.61188857186308,1.3914890556,5,4,0,"strong",4,"Random Forest",NA
0.636045232160613,1.1673300892,5,4,0,"strong",5,"Random Forest",NA
0.627596866367646,1.3709904996,5,4,0,"strong",6,"Random Forest",NA
0.660114333042249,1.2954027248,5,4,0,"strong",7,"Random Forest",NA
0.590038951908644,1.1588795352,5,4,0,"strong",8,"Random Forest",NA
0.640959495351926,1.3424862764,5,4,0,"strong",9,"Random Forest",NA
0.71240038857136,1.2691401328,5,4,0,"strong",10,"Random Forest",NA
0.608541167482029,1.1892956896,5,4,0,"noise",1,"Random Forest",NA
0.57632071932259,1.4067160724,5,4,0,"noise",2,"Random Forest",NA
0.548087622235064,1.524870816,5,4,0,"noise",3,"Random Forest",NA
0.579726675809314,1.1202680332,5,4,0,"noise",4,"Random Forest",NA
0.522873496369502,1.1499613996,5,4,0,"noise",5,"Random Forest",NA
0.592305054768809,1.2804207628,5,4,0,"noise",6,"Random Forest",NA
0.564849324849325,1.3032121024,5,4,0,"noise",7,"Random Forest",NA
0.580830166259904,1.1868460432,5,4,0,"noise",8,"Random Forest",NA
0.565523894829342,1.4283773024,5,4,0,"noise",9,"Random Forest",NA
0.55690234,1.3345721284,5,4,0,"noise",10,"Random Forest",NA
0.569469867059232,1.348169326,5,4,0,"halfnoise",1,"Random Forest",NA
0.558725967213377,1.6533266736,5,4,0,"halfnoise",2,"Random Forest",NA
0.524915619126161,1.4797218136,5,4,0,"halfnoise",3,"Random Forest",NA
0.541295285171325,0.8946159828,5,4,0,"halfnoise",4,"Random Forest",NA
0.519756319025276,1.1526506644,5,4,0,"halfnoise",5,"Random Forest",NA
0.539775327354266,1.3361942644,5,4,0,"halfnoise",6,"Random Forest",NA
0.549779593374799,1.1371627936,5,4,0,"halfnoise",7,"Random Forest",NA
0.560879974659077,1.4510952416,5,4,0,"halfnoise",8,"Random Forest",NA
0.581670347034703,1.2972829816,5,4,0,"halfnoise",9,"Random Forest",NA
0.543257413897958,1.264672092,5,4,0,"halfnoise",10,"Random Forest",NA
0.694891015575558,1.1932740976,5,4,0.5,"equal",1,"Random Forest",NA
0.773259545774853,1.2027036396,5,4,0.5,"equal",2,"Random Forest",NA
0.765185242435822,1.374984356,5,4,0.5,"equal",3,"Random Forest",NA
0.797064493780643,1.2529371028,5,4,0.5,"equal",4,"Random Forest",NA
0.76108678802983,1.4146970272,5,4,0.5,"equal",5,"Random Forest",NA
0.759688052532507,1.0115315304,5,4,0.5,"equal",6,"Random Forest",NA
0.776620818349461,1.369602324,5,4,0.5,"equal",7,"Random Forest",NA
0.790357344528644,1.3059859168,5,4,0.5,"equal",8,"Random Forest",NA
0.779985098598633,1.1743450044,5,4,0.5,"equal",9,"Random Forest",NA
0.791203682756141,1.0766170132,5,4,0.5,"equal",10,"Random Forest",NA
0.757084897159961,1.0035526656,5,4,0.5,"strong",1,"Random Forest",NA
0.614194048419099,1.3091371028,5,4,0.5,"strong",2,"Random Forest",NA
0.740769461296771,1.2181242172,5,4,0.5,"strong",3,"Random Forest",NA
0.76008773073699,1.0549509404,5,4,0.5,"strong",4,"Random Forest",NA
0.743310495661587,1.0686656528,5,4,0.5,"strong",5,"Random Forest",NA
0.768650164637484,1.3934994156,5,4,0.5,"strong",6,"Random Forest",NA
0.721791815558197,1.2631460232,5,4,0.5,"strong",7,"Random Forest",NA
0.757965703529809,1.2268095852,5,4,0.5,"strong",8,"Random Forest",NA
0.750819776538159,1.5975275292,5,4,0.5,"strong",9,"Random Forest",NA
0.755415906611529,0.9817264396,5,4,0.5,"strong",10,"Random Forest",NA
0.621727889162984,1.1611790724,5,4,0.5,"noise",1,"Random Forest",NA
0.646505506022024,1.3663317444,5,4,0.5,"noise",2,"Random Forest",NA
0.605031903450123,1.1634780884,5,4,0.5,"noise",3,"Random Forest",NA
0.627817481803188,1.355701656,5,4,0.5,"noise",4,"Random Forest",NA
0.64316714334499,1.3356958092,5,4,0.5,"noise",5,"Random Forest",NA
0.645050742045592,1.158842008,5,4,0.5,"noise",6,"Random Forest",NA
0.617813708758965,1.137867542,5,4,0.5,"noise",7,"Random Forest",NA
0.523784846473196,1.3855941456,5,4,0.5,"noise",8,"Random Forest",NA
0.619237036677887,1.3743007792,5,4,0.5,"noise",9,"Random Forest",NA
0.532083450145968,1.4881270724,5,4,0.5,"noise",10,"Random Forest",NA
0.570906735908809,1.324397646,5,4,0.5,"halfnoise",1,"Random Forest",NA
0.508493781359005,1.4917311036,5,4,0.5,"halfnoise",2,"Random Forest",NA
0.508845368845369,1.1415040008,5,4,0.5,"halfnoise",3,"Random Forest",NA
0.608832381362082,1.1664220676,5,4,0.5,"halfnoise",4,"Random Forest",NA
0.557274768190611,1.1564591072,5,4,0.5,"halfnoise",5,"Random Forest",NA
0.604319845202154,1.4856762536,5,4,0.5,"halfnoise",6,"Random Forest",NA
0.582331040979369,1.2570046988,5,4,0.5,"halfnoise",7,"Random Forest",NA
0.550754848120776,1.2876059648,5,4,0.5,"halfnoise",8,"Random Forest",NA
0.551704251928687,0.9701294328,5,4,0.5,"halfnoise",9,"Random Forest",NA
0.570905123314989,1.274781094,5,4,0.5,"halfnoise",10,"Random Forest",NA
0.71261262,1.23873345,5,8,0,"equal",1,"Random Forest",NA
0.661076393755932,1.315924844,5,8,0,"equal",2,"Random Forest",NA
0.728241316518611,1.1343674208,5,8,0,"equal",3,"Random Forest",NA
0.68499506770521,1.1276415896,5,8,0,"equal",4,"Random Forest",NA
0.648513228513228,1.226918408,5,8,0,"equal",5,"Random Forest",NA
0.725635223139276,1.2647000304,5,8,0,"equal",6,"Random Forest",NA
0.712477132386461,1.3030018944,5,8,0,"equal",7,"Random Forest",NA
0.726485768576858,1.184902696,5,8,0,"equal",8,"Random Forest",NA
0.733126889325076,1.2253161644,5,8,0,"equal",9,"Random Forest",NA
0.679324233918105,1.1824168568,5,8,0,"equal",10,"Random Forest",NA
0.691288779704033,1.1794859756,5,8,0,"strong",1,"Random Forest",NA
0.664521591922127,1.0375777868,5,8,0,"strong",2,"Random Forest",NA
0.705639352902297,1.2364174324,5,8,0,"strong",3,"Random Forest",NA
0.701992151273122,1.235499952,5,8,0,"strong",4,"Random Forest",NA
0.692014413167467,1.0524531252,5,8,0,"strong",5,"Random Forest",NA
0.702686949065681,1.257920958,5,8,0,"strong",6,"Random Forest",NA
0.674790523975166,1.1290656688,5,8,0,"strong",7,"Random Forest",NA
0.620363778432367,1.3209085768,5,8,0,"strong",8,"Random Forest",NA
0.642681378688787,1.2845947424,5,8,0,"strong",9,"Random Forest",NA
0.596038560823053,1.26856417,5,8,0,"strong",10,"Random Forest",NA
0.635946812260331,1.3867586812,5,8,0,"noise",1,"Random Forest",NA
0.621656255185007,1.4309643652,5,8,0,"noise",2,"Random Forest",NA
0.610609889137876,1.1290630028,5,8,0,"noise",3,"Random Forest",NA
0.636074283787875,1.2172884212,5,8,0,"noise",4,"Random Forest",NA
0.606859067662561,1.3862159336,5,8,0,"noise",5,"Random Forest",NA
0.568996256305941,1.2181165604,5,8,0,"noise",6,"Random Forest",NA
0.623223430035034,1.3647812888,5,8,0,"noise",7,"Random Forest",NA
0.634295881487341,1.2458101468,5,8,0,"noise",8,"Random Forest",NA
0.598124077257332,1.468918684,5,8,0,"noise",9,"Random Forest",NA
0.592758860736704,1.2321030676,5,8,0,"noise",10,"Random Forest",NA
0.529583518422917,1.2495608244,5,8,0,"halfnoise",1,"Random Forest",NA
0.565805332060955,1.1990068004,5,8,0,"halfnoise",2,"Random Forest",NA
0.524266324040351,1.32850547,5,8,0,"halfnoise",3,"Random Forest",NA
0.544484346998208,1.2024553608,5,8,0,"halfnoise",4,"Random Forest",NA
0.551352052651879,1.3076427028,5,8,0,"halfnoise",5,"Random Forest",NA
0.600136921232291,1.31215123,5,8,0,"halfnoise",6,"Random Forest",NA
0.581736609425179,1.2076768028,5,8,0,"halfnoise",7,"Random Forest",NA
0.612909004705204,1.0561606832,5,8,0,"halfnoise",8,"Random Forest",NA
0.569493230899383,1.2386995796,5,8,0,"halfnoise",9,"Random Forest",NA
0.580785111702471,1.3421818136,5,8,0,"halfnoise",10,"Random Forest",NA
0.902312877821946,1.209483292,5,8,0.5,"equal",1,"Random Forest",NA
0.908586345687075,1.0478226124,5,8,0.5,"equal",2,"Random Forest",NA
0.899377807817437,1.1076714036,5,8,0.5,"equal",3,"Random Forest",NA
0.901809000496071,1.0782552216,5,8,0.5,"equal",4,"Random Forest",NA
0.907364671414235,1.1130024328,5,8,0.5,"equal",5,"Random Forest",NA
0.894438847627705,1.19529176,5,8,0.5,"equal",6,"Random Forest",NA
0.901031873424444,1.0655315532,5,8,0.5,"equal",7,"Random Forest",NA
0.901618505896094,1.0578362744,5,8,0.5,"equal",8,"Random Forest",NA
0.891030399986302,1.1011656576,5,8,0.5,"equal",9,"Random Forest",NA
0.891144427307945,1.0215608224,5,8,0.5,"equal",10,"Random Forest",NA
0.827396808655678,1.1141991668,5,8,0.5,"strong",1,"Random Forest",NA
0.819244894238797,1.3994943156,5,8,0.5,"strong",2,"Random Forest",NA
0.806932465553133,1.1309530388,5,8,0.5,"strong",3,"Random Forest",NA
0.834321020090862,1.201886942,5,8,0.5,"strong",4,"Random Forest",NA
0.792183808735235,1.1649628428,5,8,0.5,"strong",5,"Random Forest",NA
0.823176037290487,1.150861002,5,8,0.5,"strong",6,"Random Forest",NA
0.827206171937352,1.1372459888,5,8,0.5,"strong",7,"Random Forest",NA
0.823502987909017,1.3325656504,5,8,0.5,"strong",8,"Random Forest",NA
0.81368398534445,1.2878595996,5,8,0.5,"strong",9,"Random Forest",NA
0.825348956463833,1.1619250496,5,8,0.5,"strong",10,"Random Forest",NA
0.791192459276448,1.420492024,5,8,0.5,"noise",1,"Random Forest",NA
0.766058469987149,1.1204381996,5,8,0.5,"noise",2,"Random Forest",NA
0.787465320435714,1.1984845852,5,8,0.5,"noise",3,"Random Forest",NA
0.805914170244413,1.0061900036,5,8,0.5,"noise",4,"Random Forest",NA
0.70049527238181,1.2009130344,5,8,0.5,"noise",5,"Random Forest",NA
0.718340955811387,1.28218151,5,8,0.5,"noise",6,"Random Forest",NA
0.795982995387834,1.1540495388,5,8,0.5,"noise",7,"Random Forest",NA
0.782828797377771,1.285685072,5,8,0.5,"noise",8,"Random Forest",NA
0.769240507706331,1.1201195632,5,8,0.5,"noise",9,"Random Forest",NA
0.79635859774765,1.1475619916,5,8,0.5,"noise",10,"Random Forest",NA
0.666788320394158,1.265565822,5,8,0.5,"halfnoise",1,"Random Forest",NA
0.689361042760662,1.269570366,5,8,0.5,"halfnoise",2,"Random Forest",NA
0.697560517899791,1.2573034936,5,8,0.5,"halfnoise",3,"Random Forest",NA
0.694587725158106,1.110816078,5,8,0.5,"halfnoise",4,"Random Forest",NA
0.698957068896376,1.137280436,5,8,0.5,"halfnoise",5,"Random Forest",NA
0.710868931445406,1.1141831244,5,8,0.5,"halfnoise",6,"Random Forest",NA
0.686934016739936,1.1873964568,5,8,0.5,"halfnoise",7,"Random Forest",NA
0.675607792388987,1.1338407304,5,8,0.5,"halfnoise",8,"Random Forest",NA
0.662042172674763,1.2468556456,5,8,0.5,"halfnoise",9,"Random Forest",NA
0.696562352798493,1.2908492052,5,8,0.5,"halfnoise",10,"Random Forest",NA
0.747288171668041,1.2075867224,5,12,0,"equal",1,"Random Forest",NA
0.757248417862091,1.135610434,5,12,0,"equal",2,"Random Forest",NA
0.739441554349729,1.3645160224,5,12,0,"equal",3,"Random Forest",NA
0.738696202240471,1.1564331432,5,12,0,"equal",4,"Random Forest",NA
0.732788460265329,1.3000842268,5,12,0,"equal",5,"Random Forest",NA
0.736698515361811,1.2857819132,5,12,0,"equal",6,"Random Forest",NA
0.74079738576523,1.2827357392,5,12,0,"equal",7,"Random Forest",NA
0.739663248937401,1.1389949584,5,12,0,"equal",8,"Random Forest",NA
0.767107295193779,1.2323577728,5,12,0,"equal",9,"Random Forest",NA
0.719265384977853,1.241204104,5,12,0,"equal",10,"Random Forest",NA
0.694510207780408,1.3116282048,5,12,0,"strong",1,"Random Forest",NA
0.690077835583133,1.3397961484,5,12,0,"strong",2,"Random Forest",NA
0.718678827243984,1.2132536044,5,12,0,"strong",3,"Random Forest",NA
0.707416182133391,1.2959506028,5,12,0,"strong",4,"Random Forest",NA
0.655921400741354,1.2600704168,5,12,0,"strong",5,"Random Forest",NA
0.70815926465004,1.3152430384,5,12,0,"strong",6,"Random Forest",NA
0.698449260182926,1.1993069948,5,12,0,"strong",7,"Random Forest",NA
0.667476113896471,1.2155899604,5,12,0,"strong",8,"Random Forest",NA
0.720094317195752,1.0643419168,5,12,0,"strong",9,"Random Forest",NA
0.69714424788577,1.193358554,5,12,0,"strong",10,"Random Forest",NA
0.589795626920123,1.211931988,5,12,0,"noise",1,"Random Forest",NA
0.637500565500023,1.2889240964,5,12,0,"noise",2,"Random Forest",NA
0.634018575463907,1.1097641404,5,12,0,"noise",3,"Random Forest",NA
0.663166510825071,1.3021530876,5,12,0,"noise",4,"Random Forest",NA
0.652203904876882,1.1283988084,5,12,0,"noise",5,"Random Forest",NA
0.647186377844364,1.2233703348,5,12,0,"noise",6,"Random Forest",NA
0.638020695508655,1.3720901152,5,12,0,"noise",7,"Random Forest",NA
0.644335488518247,1.0501769104,5,12,0,"noise",8,"Random Forest",NA
0.658763615743102,1.3026428004,5,12,0,"noise",9,"Random Forest",NA
0.599271293477478,1.2133835604,5,12,0,"noise",10,"Random Forest",NA
0.598885535598793,1.2322689904,5,12,0,"halfnoise",1,"Random Forest",NA
0.587196498279465,1.1093601152,5,12,0,"halfnoise",2,"Random Forest",NA
0.614008754709131,1.1391155688,5,12,0,"halfnoise",3,"Random Forest",NA
0.587336824574987,1.2401930524,5,12,0,"halfnoise",4,"Random Forest",NA
0.600136564660973,1.3716216076,5,12,0,"halfnoise",5,"Random Forest",NA
0.628326581100653,1.3850900772,5,12,0,"halfnoise",6,"Random Forest",NA
0.620911602016489,1.2230895584,5,12,0,"halfnoise",7,"Random Forest",NA
0.571817075166148,1.2345143272,5,12,0,"halfnoise",8,"Random Forest",NA
0.603115208235231,1.0758359848,5,12,0,"halfnoise",9,"Random Forest",NA
0.586266240457661,1.2617815644,5,12,0,"halfnoise",10,"Random Forest",NA
0.9458112053818,1.03466035,5,12,0.5,"equal",1,"Random Forest",NA
0.947343481043653,1.186833808,5,12,0.5,"equal",2,"Random Forest",NA
0.939921234479972,1.0414304204,5,12,0.5,"equal",3,"Random Forest",NA
0.938949247174262,1.0205966336,5,12,0.5,"equal",4,"Random Forest",NA
0.94036073166976,1.076315004,5,12,0.5,"equal",5,"Random Forest",NA
0.939085205463024,1.0471107268,5,12,0.5,"equal",6,"Random Forest",NA
0.9460424978417,1.077175966,5,12,0.5,"equal",7,"Random Forest",NA
0.947810557708693,1.1238673,5,12,0.5,"equal",8,"Random Forest",NA
0.942846805548889,1.1250368668,5,12,0.5,"equal",9,"Random Forest",NA
0.939766357478546,1.0913229424,5,12,0.5,"equal",10,"Random Forest",NA
0.870939656612422,1.2140805132,5,12,0.5,"strong",1,"Random Forest",NA
0.869176585092058,1.1204760416,5,12,0.5,"strong",2,"Random Forest",NA
0.878762297731773,1.2213343832,5,12,0.5,"strong",3,"Random Forest",NA
0.874108684559061,1.2035297576,5,12,0.5,"strong",4,"Random Forest",NA
0.873430419546851,1.1608216312,5,12,0.5,"strong",5,"Random Forest",NA
0.871468634858745,1.103831132,5,12,0.5,"strong",6,"Random Forest",NA
0.873401888732504,1.1808931444,5,12,0.5,"strong",7,"Random Forest",NA
0.886455091927793,1.1252905224,5,12,0.5,"strong",8,"Random Forest",NA
0.869650456576292,1.0388693228,5,12,0.5,"strong",9,"Random Forest",NA
0.869098791683062,1.2046489688,5,12,0.5,"strong",10,"Random Forest",NA
0.869647253073011,1.1419841504,5,12,0.5,"noise",1,"Random Forest",NA
0.868717821348298,1.0688196868,5,12,0.5,"noise",2,"Random Forest",NA
0.878239745399604,1.1985614088,5,12,0.5,"noise",3,"Random Forest",NA
0.875682331793241,1.2579456728,5,12,0.5,"noise",4,"Random Forest",NA
0.867989864283773,1.1625994476,5,12,0.5,"noise",5,"Random Forest",NA
0.87249775489991,1.052890108,5,12,0.5,"noise",6,"Random Forest",NA
0.870049994049518,1.0671206736,5,12,0.5,"noise",7,"Random Forest",NA
0.877777527057668,1.1336315256,5,12,0.5,"noise",8,"Random Forest",NA
0.87657677441936,1.1503697012,5,12,0.5,"noise",9,"Random Forest",NA
0.880286438210685,1.0869114932,5,12,0.5,"noise",10,"Random Forest",NA
0.774598003479588,1.1637968516,5,12,0.5,"halfnoise",1,"Random Forest",NA
0.770687769849324,1.3570965544,5,12,0.5,"halfnoise",2,"Random Forest",NA
0.750413871340943,1.3076545252,5,12,0.5,"halfnoise",3,"Random Forest",NA
0.765462704859023,1.2504799788,5,12,0.5,"halfnoise",4,"Random Forest",NA
0.770999053439394,1.341395602,5,12,0.5,"halfnoise",5,"Random Forest",NA
0.735080315722841,1.04072232,5,12,0.5,"halfnoise",6,"Random Forest",NA
0.748095119896501,1.146658914,5,12,0.5,"halfnoise",7,"Random Forest",NA
0.751684327916779,1.1679811624,5,12,0.5,"halfnoise",8,"Random Forest",NA
0.776405490137253,1.1072429304,5,12,0.5,"halfnoise",9,"Random Forest",NA
0.76423783891114,1.1029834904,5,12,0.5,"halfnoise",10,"Random Forest",NA
0.68308301794891,1.2084919148,10,4,0,"equal",1,"Random Forest",NA
