"AUC","Brier","EPV","P","rho","beta_pattern","sim","model","lambda"
0.646014924955197,1.2504339688,10,4,0,"equal",2,"Random Forest",NA
0.65818691266968,1.2696837528,10,4,0,"equal",3,"Random Forest",NA
0.632068088252777,1.032645102,10,4,0,"equal",4,"Random Forest",NA
0.653628155306136,1.2141429828,10,4,0,"equal",5,"Random Forest",NA
0.66335822882603,1.1593985368,10,4,0,"equal",6,"Random Forest",NA
0.672717914148423,1.178333568,10,4,0,"equal",7,"Random Forest",NA
0.682723868227998,1.2534179008,10,4,0,"equal",8,"Random Forest",NA
0.670550247798662,1.1924757156,10,4,0,"equal",9,"Random Forest",NA
0.655271622122223,1.2825718776,10,4,0,"equal",10,"Random Forest",NA
0.694938154002661,1.2193581036,10,4,0,"strong",1,"Random Forest",NA
0.663520988272018,1.2734088932,10,4,0,"strong",2,"Random Forest",NA
0.67968208627258,1.1655514872,10,4,0,"strong",3,"Random Forest",NA
0.668383790032228,1.122321114,10,4,0,"strong",4,"Random Forest",NA
0.690353241091188,1.1770763584,10,4,0,"strong",5,"Random Forest",NA
0.677583775816036,1.3087764764,10,4,0,"strong",6,"Random Forest",NA
0.684570123123909,1.427524846,10,4,0,"strong",7,"Random Forest",NA
0.688806879261913,1.2625250116,10,4,0,"strong",8,"Random Forest",NA
0.684197349321358,1.2660128156,10,4,0,"strong",9,"Random Forest",NA
0.641359008924321,1.2610474176,10,4,0,"strong",10,"Random Forest",NA
0.532345318654354,1.3457902124,10,4,0,"noise",1,"Random Forest",NA
0.553737013276773,1.1772344188,10,4,0,"noise",2,"Random Forest",NA
0.537432246097185,1.1144320388,10,4,0,"noise",3,"Random Forest",NA
0.585481603273996,1.4036581216,10,4,0,"noise",4,"Random Forest",NA
0.571309078812392,1.3247530492,10,4,0,"noise",5,"Random Forest",NA
0.561257900505632,1.21391839,10,4,0,"noise",6,"Random Forest",NA
0.553447381391092,1.4000329468,10,4,0,"noise",7,"Random Forest",NA
0.600551257538509,1.2105229744,10,4,0,"noise",8,"Random Forest",NA
0.519891837798218,1.392518338,10,4,0,"noise",9,"Random Forest",NA
0.585071105639951,1.3225046544,10,4,0,"noise",10,"Random Forest",NA
0.516228943369679,1.3393389008,10,4,0,"halfnoise",1,"Random Forest",NA
0.524299478485283,1.2543983956,10,4,0,"halfnoise",2,"Random Forest",NA
0.523984001396263,1.2384656156,10,4,0,"halfnoise",3,"Random Forest",NA
0.508600294774668,1.3025905748,10,4,0,"halfnoise",4,"Random Forest",NA
0.54073518661668,1.216361026,10,4,0,"halfnoise",5,"Random Forest",NA
0.545465721818629,1.1673674412,10,4,0,"halfnoise",6,"Random Forest",NA
0.519202593224772,1.178372216,10,4,0,"halfnoise",7,"Random Forest",NA
0.560220158316344,1.38406071,10,4,0,"halfnoise",8,"Random Forest",NA
0.518838026281277,1.2764736504,10,4,0,"halfnoise",9,"Random Forest",NA
0.522468121132733,1.3452479744,10,4,0,"halfnoise",10,"Random Forest",NA
0.789756935693569,1.1557391588,10,4,0.5,"equal",1,"Random Forest",NA
0.789936740245694,1.1868702008,10,4,0.5,"equal",2,"Random Forest",NA
0.782442955620467,1.1862735496,10,4,0.5,"equal",3,"Random Forest",NA
0.788902575610302,1.2152798688,10,4,0.5,"equal",4,"Random Forest",NA
0.769201935953125,1.0887903452,10,4,0.5,"equal",5,"Random Forest",NA
0.769897038352614,1.2328050936,10,4,0.5,"equal",6,"Random Forest",NA
0.720479621395155,1.163787662,10,4,0.5,"equal",7,"Random Forest",NA
0.777722439023824,1.1340099612,10,4,0.5,"equal",8,"Random Forest",NA
0.709463492581768,1.1392957508,10,4,0.5,"equal",9,"Random Forest",NA
0.779617581486179,1.3906562732,10,4,0.5,"equal",10,"Random Forest",NA
0.757980129735907,1.2474755976,10,4,0.5,"strong",1,"Random Forest",NA
0.74783908,1.1665133612,10,4,0.5,"strong",2,"Random Forest",NA
0.746696975593271,1.3881663892,10,4,0.5,"strong",3,"Random Forest",NA
0.761651175526736,1.4390659128,10,4,0.5,"strong",4,"Random Forest",NA
0.743948033453639,1.1762971332,10,4,0.5,"strong",5,"Random Forest",NA
0.698646968536239,1.2593960996,10,4,0.5,"strong",6,"Random Forest",NA
0.699863684535365,1.0257656476,10,4,0.5,"strong",7,"Random Forest",NA
0.74141347046211,1.4398641552,10,4,0.5,"strong",8,"Random Forest",NA
0.772669554025986,1.206230376,10,4,0.5,"strong",9,"Random Forest",NA
0.719540077174034,1.1945637548,10,4,0.5,"strong",10,"Random Forest",NA
0.633624306741645,1.0352142556,10,4,0.5,"noise",1,"Random Forest",NA
0.618164945410929,1.2011952256,10,4,0.5,"noise",2,"Random Forest",NA
0.608427837348454,1.1815741256,10,4,0.5,"noise",3,"Random Forest",NA
0.588498493993976,1.48993648,10,4,0.5,"noise",4,"Random Forest",NA
0.60143282606327,1.2727054884,10,4,0.5,"noise",5,"Random Forest",NA
0.626145093627341,1.2058019428,10,4,0.5,"noise",6,"Random Forest",NA
0.650646244103399,1.2525263552,10,4,0.5,"noise",7,"Random Forest",NA
0.627890234718401,1.1934652168,10,4,0.5,"noise",8,"Random Forest",NA
0.622810561155963,1.2193764532,10,4,0.5,"noise",9,"Random Forest",NA
0.611500824366755,1.2472346492,10,4,0.5,"noise",10,"Random Forest",NA
0.559399847813315,1.1935704012,10,4,0.5,"halfnoise",1,"Random Forest",NA
0.546619968295733,1.1630889928,10,4,0.5,"halfnoise",2,"Random Forest",NA
0.570182442919087,1.2774887528,10,4,0.5,"halfnoise",3,"Random Forest",NA
0.541462997357024,1.2793383564,10,4,0.5,"halfnoise",4,"Random Forest",NA
0.522946220465801,1.2674479928,10,4,0.5,"halfnoise",5,"Random Forest",NA
0.57393795183856,1.1329925456,10,4,0.5,"halfnoise",6,"Random Forest",NA
0.556825062273002,1.2310057104,10,4,0.5,"halfnoise",7,"Random Forest",NA
0.520288877501229,1.3113284924,10,4,0.5,"halfnoise",8,"Random Forest",NA
0.558177052740567,1.1254934008,10,4,0.5,"halfnoise",9,"Random Forest",NA
0.582075763283031,1.1886618016,10,4,0.5,"halfnoise",10,"Random Forest",NA
0.739177363972087,1.1180331028,10,8,0,"equal",1,"Random Forest",NA
0.71795457955494,1.2110501052,10,8,0,"equal",2,"Random Forest",NA
0.743624860075612,1.1952816856,10,8,0,"equal",3,"Random Forest",NA
0.727595632185977,1.152947196,10,8,0,"equal",4,"Random Forest",NA
0.746121506481534,1.18106085,10,8,0,"equal",5,"Random Forest",NA
0.717881772880785,1.1818295664,10,8,0,"equal",6,"Random Forest",NA
0.732135508566725,1.2929462252,10,8,0,"equal",7,"Random Forest",NA
0.72464646909287,1.0854587136,10,8,0,"equal",8,"Random Forest",NA
0.752070707537468,1.2610760812,10,8,0,"equal",9,"Random Forest",NA
0.736039845276786,1.2514616336,10,8,0,"equal",10,"Random Forest",NA
0.668057412650425,1.30578397,10,8,0,"strong",1,"Random Forest",NA
0.718753618767515,1.1574657604,10,8,0,"strong",2,"Random Forest",NA
0.700173206235424,1.1955716556,10,8,0,"strong",3,"Random Forest",NA
0.697301954941462,1.2172166312,10,8,0,"strong",4,"Random Forest",NA
0.685209135247627,1.1618376068,10,8,0,"strong",5,"Random Forest",NA
0.647371125360513,1.2170154052,10,8,0,"strong",6,"Random Forest",NA
0.678734635292941,1.1774600828,10,8,0,"strong",7,"Random Forest",NA
0.663030738691066,1.1521603364,10,8,0,"strong",8,"Random Forest",NA
0.683730945520008,1.197089784,10,8,0,"strong",9,"Random Forest",NA
0.689254718453233,1.1618955472,10,8,0,"strong",10,"Random Forest",NA
0.617192379600222,1.359434774,10,8,0,"noise",1,"Random Forest",NA
0.623559448680669,1.3281096148,10,8,0,"noise",2,"Random Forest",NA
0.622894104241878,1.3429362712,10,8,0,"noise",3,"Random Forest",NA
0.651537891433019,1.2088508548,10,8,0,"noise",4,"Random Forest",NA
0.621923563961785,1.2628689748,10,8,0,"noise",5,"Random Forest",NA
0.642158578093009,1.219702486,10,8,0,"noise",6,"Random Forest",NA
0.647818308199148,1.1382580012,10,8,0,"noise",7,"Random Forest",NA
0.632790657473845,1.2240090756,10,8,0,"noise",8,"Random Forest",NA
0.614751672581567,1.266946964,10,8,0,"noise",9,"Random Forest",NA
0.599951913366776,1.3228546604,10,8,0,"noise",10,"Random Forest",NA
0.527904184309265,1.2750856992,10,8,0,"halfnoise",1,"Random Forest",NA
0.587496610777553,1.4450631884,10,8,0,"halfnoise",2,"Random Forest",NA
0.600013025519297,1.2666971932,10,8,0,"halfnoise",3,"Random Forest",NA
0.602194716790098,1.1466535936,10,8,0,"halfnoise",4,"Random Forest",NA
0.601267459244696,1.36560597,10,8,0,"halfnoise",5,"Random Forest",NA
0.594511690091225,1.1891224564,10,8,0,"halfnoise",6,"Random Forest",NA
0.560926945420326,1.2504098076,10,8,0,"halfnoise",7,"Random Forest",NA
0.597915482472648,1.2328793672,10,8,0,"halfnoise",8,"Random Forest",NA
0.604986475061505,1.2236015692,10,8,0,"halfnoise",9,"Random Forest",NA
0.598055590800457,1.1650452724,10,8,0,"halfnoise",10,"Random Forest",NA
0.901113716874567,1.2224681852,10,8,0.5,"equal",1,"Random Forest",NA
0.897190398195303,1.1350428232,10,8,0.5,"equal",2,"Random Forest",NA
0.895213887960851,1.1143740368,10,8,0.5,"equal",3,"Random Forest",NA
0.897826389846453,1.1340668376,10,8,0.5,"equal",4,"Random Forest",NA
0.909096580027447,1.1193223656,10,8,0.5,"equal",5,"Random Forest",NA
0.905015927363096,1.1527883248,10,8,0.5,"equal",6,"Random Forest",NA
0.904373698796939,1.0292173752,10,8,0.5,"equal",7,"Random Forest",NA
0.898641386034651,1.1432995316,10,8,0.5,"equal",8,"Random Forest",NA
0.907652320897485,1.0872596684,10,8,0.5,"equal",9,"Random Forest",NA
0.907367340999709,1.0944066076,10,8,0.5,"equal",10,"Random Forest",NA
0.815956654261027,1.281026102,10,8,0.5,"strong",1,"Random Forest",NA
0.821483341606027,1.0955255612,10,8,0.5,"strong",2,"Random Forest",NA
0.824995287963058,1.2296766452,10,8,0.5,"strong",3,"Random Forest",NA
0.811181572025366,1.1492134736,10,8,0.5,"strong",4,"Random Forest",NA
0.815887590542014,1.1795915472,10,8,0.5,"strong",5,"Random Forest",NA
0.83285836139622,1.2687073816,10,8,0.5,"strong",6,"Random Forest",NA
0.826735709110854,1.2653556528,10,8,0.5,"strong",7,"Random Forest",NA
0.822173366494958,1.183330726,10,8,0.5,"strong",8,"Random Forest",NA
0.832200641208691,1.222177172,10,8,0.5,"strong",9,"Random Forest",NA
0.834417404977011,1.0744000656,10,8,0.5,"strong",10,"Random Forest",NA
0.806889561089461,1.1344064376,10,8,0.5,"noise",1,"Random Forest",NA
0.794585029114814,1.1188153508,10,8,0.5,"noise",2,"Random Forest",NA
0.802125192519252,1.1505148744,10,8,0.5,"noise",3,"Random Forest",NA
0.799459731057166,1.0960821052,10,8,0.5,"noise",4,"Random Forest",NA
0.789951819980283,1.1710278484,10,8,0.5,"noise",5,"Random Forest",NA
0.779789861292804,1.1570001256,10,8,0.5,"noise",6,"Random Forest",NA
0.79430284973315,1.2612825856,10,8,0.5,"noise",7,"Random Forest",NA
0.781665849581174,1.1687461256,10,8,0.5,"noise",8,"Random Forest",NA
0.795282855017583,1.2264505384,10,8,0.5,"noise",9,"Random Forest",NA
0.779157418047584,1.0279138588,10,8,0.5,"noise",10,"Random Forest",NA
0.708231408111442,1.2364952556,10,8,0.5,"halfnoise",1,"Random Forest",NA
0.679496414806997,1.1877412192,10,8,0.5,"halfnoise",2,"Random Forest",NA
0.608531702747083,1.262977776,10,8,0.5,"halfnoise",3,"Random Forest",NA
0.707719672991825,1.2625812576,10,8,0.5,"halfnoise",4,"Random Forest",NA
0.682358409433638,1.2050810732,10,8,0.5,"halfnoise",5,"Random Forest",NA
0.693066992028897,1.1726643268,10,8,0.5,"halfnoise",6,"Random Forest",NA
0.683002316197917,1.3495999288,10,8,0.5,"halfnoise",7,"Random Forest",NA
0.682017381738174,1.2805461224,10,8,0.5,"halfnoise",8,"Random Forest",NA
0.688458143130433,1.2547449668,10,8,0.5,"halfnoise",9,"Random Forest",NA
0.698466152660157,1.2350231352,10,8,0.5,"halfnoise",10,"Random Forest",NA
0.746551975871131,1.1257380384,10,12,0,"equal",1,"Random Forest",NA
0.773202650928106,1.3444192368,10,12,0,"equal",2,"Random Forest",NA
0.756421204912315,1.251524562,10,12,0,"equal",3,"Random Forest",NA
0.783568929223231,1.1051420336,10,12,0,"equal",4,"Random Forest",NA
0.771961666809905,1.2996579088,10,12,0,"equal",5,"Random Forest",NA
0.776556028027607,1.243115504,10,12,0,"equal",6,"Random Forest",NA
0.76029204620678,1.2455043484,10,12,0,"equal",7,"Random Forest",NA
0.747764119659406,1.287203336,10,12,0,"equal",8,"Random Forest",NA
0.772427315830156,1.2313901196,10,12,0,"equal",9,"Random Forest",NA
0.766239809280419,1.1266724664,10,12,0,"equal",10,"Random Forest",NA
0.718465125363443,1.2120976892,10,12,0,"strong",1,"Random Forest",NA
0.724639227322139,1.16765522,10,12,0,"strong",2,"Random Forest",NA
0.711389263659888,1.3084318576,10,12,0,"strong",3,"Random Forest",NA
0.714618562609531,1.2073606996,10,12,0,"strong",4,"Random Forest",NA
0.723103111712022,1.2262413696,10,12,0,"strong",5,"Random Forest",NA
0.720735986832031,1.1916511672,10,12,0,"strong",6,"Random Forest",NA
0.70224606443598,1.2146707588,10,12,0,"strong",7,"Random Forest",NA
0.71099069911974,1.2688612708,10,12,0,"strong",8,"Random Forest",NA
0.732619793578142,1.209985708,10,12,0,"strong",9,"Random Forest",NA
0.729047119311407,1.1848095284,10,12,0,"strong",10,"Random Forest",NA
0.676009008328452,1.2022109268,10,12,0,"noise",1,"Random Forest",NA
0.671818915505793,1.3541864264,10,12,0,"noise",2,"Random Forest",NA
0.683791084659162,1.172406284,10,12,0,"noise",3,"Random Forest",NA
0.669737437687641,1.2009258356,10,12,0,"noise",4,"Random Forest",NA
0.671741925386519,1.176205762,10,12,0,"noise",5,"Random Forest",NA
0.688691092703522,1.2548878876,10,12,0,"noise",6,"Random Forest",NA
0.679993994499518,1.3050456076,10,12,0,"noise",7,"Random Forest",NA
0.65839833437335,1.2595655268,10,12,0,"noise",8,"Random Forest",NA
0.650019300694825,1.1729522776,10,12,0,"noise",9,"Random Forest",NA
0.662159922070408,1.2258449088,10,12,0,"noise",10,"Random Forest",NA
0.605575140705065,1.2193103016,10,12,0,"halfnoise",1,"Random Forest",NA
0.60444892004028,1.3265470152,10,12,0,"halfnoise",2,"Random Forest",NA
0.60376371612055,1.27233129,10,12,0,"halfnoise",3,"Random Forest",NA
0.628204832765868,1.3030749716,10,12,0,"halfnoise",4,"Random Forest",NA
0.632833302913186,1.1910891968,10,12,0,"halfnoise",5,"Random Forest",NA
0.603453051387681,1.317566826,10,12,0,"halfnoise",6,"Random Forest",NA
0.597846836174829,1.2254905824,10,12,0,"halfnoise",7,"Random Forest",NA
0.637079546988675,1.2515058164,10,12,0,"halfnoise",8,"Random Forest",NA
0.628460659918945,1.2203687912,10,12,0,"halfnoise",9,"Random Forest",NA
0.638813226704155,1.217488722,10,12,0,"halfnoise",10,"Random Forest",NA
0.944860692527066,1.059929134,10,12,0.5,"equal",1,"Random Forest",NA
0.942874629609089,1.1476462328,10,12,0.5,"equal",2,"Random Forest",NA
0.943255939034765,1.0803129256,10,12,0.5,"equal",3,"Random Forest",NA
0.94169917418268,1.1870029552,10,12,0.5,"equal",4,"Random Forest",NA
0.948285992019527,1.0904300048,10,12,0.5,"equal",5,"Random Forest",NA
0.940424563821074,1.0438275092,10,12,0.5,"equal",6,"Random Forest",NA
0.947001445105492,1.0688505556,10,12,0.5,"equal",7,"Random Forest",NA
0.945424046555426,1.0795372272,10,12,0.5,"equal",8,"Random Forest",NA
0.94618405577957,1.0451004148,10,12,0.5,"equal",9,"Random Forest",NA
0.946484653790146,1.1875926224,10,12,0.5,"equal",10,"Random Forest",NA
0.870400294022774,1.1676922884,10,12,0.5,"strong",1,"Random Forest",NA
0.872333392333392,1.174992008,10,12,0.5,"strong",2,"Random Forest",NA
0.872755511022044,1.1543554512,10,12,0.5,"strong",3,"Random Forest",NA
0.874593862218334,1.1731708772,10,12,0.5,"strong",4,"Random Forest",NA
0.87105387491775,1.1665861044,10,12,0.5,"strong",5,"Random Forest",NA
0.870318349363244,1.1430815564,10,12,0.5,"strong",6,"Random Forest",NA
0.876447388336957,1.1902958472,10,12,0.5,"strong",7,"Random Forest",NA
0.879844706444759,1.1228677576,10,12,0.5,"strong",8,"Random Forest",NA
0.872855215696941,1.1427243076,10,12,0.5,"strong",9,"Random Forest",NA
0.872870227022702,1.0639374436,10,12,0.5,"strong",10,"Random Forest",NA
0.880161238113113,1.2649287408,10,12,0.5,"noise",1,"Random Forest",NA
0.867954553265124,1.133733214,10,12,0.5,"noise",2,"Random Forest",NA
0.879838999737535,1.212170492,10,12,0.5,"noise",3,"Random Forest",NA
0.875119071907191,1.2109291308,10,12,0.5,"noise",4,"Random Forest",NA
0.873145792624464,1.1821384828,10,12,0.5,"noise",5,"Random Forest",NA
0.88455495492554,1.1521264412,10,12,0.5,"noise",6,"Random Forest",NA
0.882377305235628,1.1364390608,10,12,0.5,"noise",7,"Random Forest",NA
0.875465898656763,1.1956528772,10,12,0.5,"noise",8,"Random Forest",NA
0.874493466311529,1.1207343572,10,12,0.5,"noise",9,"Random Forest",NA
0.882521630726264,1.1588293316,10,12,0.5,"noise",10,"Random Forest",NA
0.761580326048778,1.1863392172,10,12,0.5,"halfnoise",1,"Random Forest",NA
0.782227533165965,1.1483528004,10,12,0.5,"halfnoise",2,"Random Forest",NA
0.773641438520793,1.1505650016,10,12,0.5,"halfnoise",3,"Random Forest",NA
0.77178979729903,1.1719656,10,12,0.5,"halfnoise",4,"Random Forest",NA
0.78620603188365,1.1124929056,10,12,0.5,"halfnoise",5,"Random Forest",NA
0.751485000617667,1.2157031504,10,12,0.5,"halfnoise",6,"Random Forest",NA
0.778522705904504,1.2156527292,10,12,0.5,"halfnoise",7,"Random Forest",NA
0.781123834341168,1.1776820404,10,12,0.5,"halfnoise",8,"Random Forest",NA
0.76519634049474,1.1658597288,10,12,0.5,"halfnoise",9,"Random Forest",NA
0.782011930973539,1.202492646,10,12,0.5,"halfnoise",10,"Random Forest",NA
